Company ID,Address,City,Zip Code,Company Name,Industry,Latitude,Longitude,Last Outcome,Last Outreach Date,Days Since Last Contact,Next Step Due Countdown,Next Steps Due Date,Contact Status,Close Probability,Priority Score,UrgencyBand,Urgency Score,Totals
CID-RED101,224 Co Rd 2262,Canton,,Red Sky Landscaping & Welding,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.45,75,90,Medium,75,84
CID-DOU101,,Canton,,Double W Welding & Excavation Solutions,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-FAR101,,Canton,,Farnham Fabrication & Welding,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-JMP101,,Canton,,Jmp Welding,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-BYR101,,Canton,,Byrd Welding Llc,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.55,90,90,Medium,75,84
CID-ALL101,,Canton,,Allfab Welding Inc.,Metal Fabrication,,,Disqualified,02/27/2026,4,176,08/26/2026,0.55,90,90,Low,25,64
CID-HOR101,,Canton,,Horton Custom Welding Llc,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-MOU101,,Canton,,Mount Liberty Welding Services,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-TWI101,,Canton,,Twisted H Mettle,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-DIA101,,Canton,,Diamond A Enterprises Llc,Metal Fabrication,,,Not Contacted,,,14,03/17/2026,0.5,85,90,Medium,75,84
CID-HWY101,17898 State Hwy 31 E,Canton,,Hwy 31 Utilities & Excavation Llc,Excavation & Demolition,,,Not Contacted,,,14,03/17/2026,0.55,90,50,Medium,75,60
CID-4LE101,392 Private Rd,Canton,,4l Exteriors,Demolition,,,Initial Contact,02/12/2026,19,-5,02/26/2026,0.55,90,50,Overdue,150,90
CID-SAN101,2548 FM 857,Canton,,Sanchez Concrete Llc,Concrete Construction,,,Not Contacted,,,14,03/17/2026,0.5,85,50,Medium,75,60
CID-KYL101,13004 Co Rd 3513,Canton,,Kyle's Excavation,Excavation,,,Not Contacted,,,14,03/17/2026,0.5,85,50,Medium,75,60
CID-JDR101,186 Industrial Ln,Canton,,Jdr Contracting,Utility Construction,,,Not Contacted,,,14,03/17/2026,0.55,90,50,Medium,75,60
CID-T6L101,20965 County Rd 450,Canton,,T6 Land Management Llc,Excavation,,,Not Contacted,,,14,03/17/2026,0.55,90,50,Medium,75,60
CID-RED101,9307 Co Rd 3622,Canton,,Red Hill Construction,Construction Construction,,,Not Contacted,,,14,03/17/2026,0.5,85,50,Medium,75,60
